number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
149,0.0,2025-03-18 12:27:27.858264,2025-03-18 12:28:25.171652,0 days 00:00:57.313388,100,MI,ETs,,Robust,COMPLETE
150,0.7894072608952406,2025-03-18 12:27:29.145954,2025-03-18 12:28:11.090084,0 days 00:00:41.944130,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
151,0.0,2025-03-18 12:27:30.481296,2025-03-18 12:28:27.800978,0 days 00:00:57.319682,100,MI,ETs,,Robust,COMPLETE
152,0.7774997385415789,2025-03-18 12:27:31.203749,2025-03-18 12:28:08.938570,0 days 00:00:37.734821,70,MI,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
153,0.787503643964816,2025-03-18 12:27:35.212933,2025-03-18 12:28:06.724161,0 days 00:00:31.511228,40,,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
154,0.0,2025-03-18 12:27:36.628331,2025-03-18 12:28:29.985821,0 days 00:00:53.357490,100,MI,KNN,BorderlineSMOTE,Standard,COMPLETE
155,0.8155591416672229,2025-03-18 12:27:40.821102,2025-03-18 12:28:09.315216,0 days 00:00:28.494114,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
156,0.0,2025-03-18 12:27:41.355566,2025-03-18 12:28:16.194777,0 days 00:00:34.839211,100,LDA,KNN,,Robust,COMPLETE
157,0.7877592768334127,2025-03-18 12:27:41.899011,2025-03-18 12:28:17.771485,0 days 00:00:35.872474,70,MI,ETs,,Standard,COMPLETE
158,0.7562180760640039,2025-03-18 12:27:43.689983,2025-03-18 12:28:13.727063,0 days 00:00:30.037080,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
159,0.7921640942589949,2025-03-18 12:27:45.182222,2025-03-18 12:28:32.144108,0 days 00:00:46.961886,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
160,0.7922942546583552,2025-03-18 12:27:45.684991,2025-03-18 12:28:22.238594,0 days 00:00:36.553603,70,MI,ETs,,Standard,COMPLETE
161,0.7783568592726121,2025-03-18 12:27:45.904639,2025-03-18 12:28:56.744296,0 days 00:01:10.839657,10,,ETs,BorderlineSMOTE,Standard,COMPLETE
